,price_per_sqft
278,15861.037278446353
279,9182.6942943329
280,3804.2665505272184
281,10330.53108112451
282,15593.272022897852
283,9641.829009049545
284,3902.6450750914823
285,14191.454407030946
286,11478.367867916124
287,2655.911168247734
288,16446.647076882593
289,14794.348354868462
290,12939.267253469392
291,27548.082882998697
292,39354.45574427475
293,17435.49448224718
294,14539.288217666917
295,10567.64194059239
296,11687.080099907838
297,11019.243271833711
298,17117.242412247386
299,17830.460846091028
300,13467.963998907871
301,4173.957178538513
302,3073.7020662757614
303,6055.612361391004
304,13774.05408979214
305,13467.963998907871
306,1154.3969141921032
307,5815.697485782151
308,2520.7421064761465
309,30609.12151821243
310,12855.78381713933
311,10100.96372376619
312,11523.392486748098
313,29217.67585910402
314,4659.883338450069
315,5713.679364638854
316,12986.978913868781
317,4429.319937341328
318,4306.359479690449
319,7249.493743686899
320,14617.362428131302
321,2954.9225488581815
322,4946.434037343128
323,15861.037278446353
324,9182.6942943329
325,7805.325987144169
326,23612.688934306876
327,14631.773754432417
328,17120.302811465
329,7562.253551558365
330,10071.328704471669
331,1951.3314967860422
332,10100.96372376619
333,12243.580468149996
334,5247.258307534314
335,4636.363636363636
336,6252.05145438347
337,6511.394941147007
338,12334.985307661946
339,20661.074535574975
340,15094.87126590622
341,16638.726164239924
342,7460.973370064279
343,17266.602623267845
344,3866.3966632996794
345,9838.581670066444
346,9081.808934885448
347,14921.878228290961
348,3866.3966632996794
349,39944.903581267215
350,14794.348354868462
351,17830.460846091028
352,13774.062522000238
353,10203.01737233758
354,5365.183262279047
355,3947.698148701207
356,4189.076916349643
357,4197.822379640562
358,5247.277974550701
359,9056.922759543731
360,9690.679754294379
361,5208.104907679488
362,3328.726681695676
363,25449.23140697519
364,34052.54345716725
365,18365.405453056184
366,3673.0777177331597
367,4197.822379640561
368,4062.642609886135
369,12243.648607284971
370,7922.332334639318
371,4507.863717818862
372,3804.2665505272184
373,16069.733460513795
374,479.5409466750467
375,2954.9225488581815
376,2983.441151998081
377,2967.8473409850903
378,4879.338842975207
379,8455.01860797128
380,9182.680240708658
381,21897.201820151924
382,19071.756424003288
383,6379.52366223322
384,3397.6124885215795
385,5509.641873278237
386,8395.60070523046
387,4340.929960764671
388,5547.88204820153
389,5509.641873278237
390,7460.973370064279
391,18005.300760543905
392,24268.59696025984
393,6511.394941147007
394,16069.788797061525
395,6504.438322620141
396,9182.736455463728
397,4525.747568230564
398,7575.722792824642
399,8570.522544759555
400,3994.4756860397206
401,3213.943003016515
402,3960.041459912328
403,4958.65947232517
404,4620.962582051708
405,9182.702726528092
406,7346.162181222474
407,18106.757441877307
408,22603.55252500518
409,7333.918577587105
410,16324.804847161055
411,2571.1567634278663
412,4958.65947232517
413,4265.503921893884
414,4591.368227731864
415,6978.854072161351
416,7346.162181222474
417,4940.294066872114
418,4285.224545766198
419,14429.976570965313
420,3305.785123966942
421,2708.897304325788
422,20551.74886637428
423,3516.778943090702
424,6244.260789715335
425,6121.805565333439
426,16571.565244131616
427,20635.277657978528
428,4385.772553835358
429,4366.116166411399
430,19239.95193510189
431,3305.785123966942
432,5739.183933958062
433,16896.173016811692
434,4750.518210523867
435,4173.971116119877
436,4744.3993131334155
437,15669.544471178147
438,3176.7146813854447
439,7346.1506170766515
440,3467.576194848922
441,9947.934043666839
442,4939.6476384684565
443,11019.243271833711
444,13118.14331046841
445,7713.470290283598
